id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
10000,Women,Apparel,Bottomwear,Skirts,White,Summer,2011,Casual,Palm Tree Girls Sp Jace Sko White Skirts
10001,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2011,Casual,Palm Tree Kids Girls Sp Jema Skt Blue Skirts
10002,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2011,Casual,Palm Tree Kids Sp Jema Skt Blue Skirts
10003,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Nike Eleme White T-Shirt
10004,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2011,Sports,Nike Men As 7 Sw Temp Grey Shorts
10005,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Sports,Nike Men As Ss Trainin Blue T-Shirts
10006,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Men AS T90 Black Tshirts
10007,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Trophy Swo White T-Shirts
10008,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men Town Navy Blue T-Shirts
10009,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Sports,Nike Men Town Round Red Neck T-Shirts
10010,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Men As Showdown F Black T-Shirts
10011,Men,Apparel,Bottomwear,Track Pants,Grey Melange,Summer,2012,Sports,Nike Men Grey Melange Track Pants
10012,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011,Sports,Nike Men's Breakli Navy Blue Track Pants
10013,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Sports,Nike Men As Ss Cruiser Yellow T-Shirts
10014,Unisex,Accessories,Headwear,Caps,Blue,Fall,2011,Sports,Nike Unisex Feather lite Blue Caps
10015,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Locomotive Men American Glory White Tshirts
10016,Women,Apparel,Dress,Dresses,Pink,Summer,2011,Casual,Palm Tree Girl's Cr Blossom Drs Pink Dresses
10017,Women,Apparel,Topwear,Jackets,Blue,Fall,2011,Sports,Nike Women As The Windru Blue Jackets
10018,Men,Apparel,Bottomwear,Shorts,Black,Fall,2012,Sports,Nike Men Black Three Quarter Track Pants
10019,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Miler Ss White T-Shirts
10020,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012,Sports,Nike Men Black & White Reversible Shorts
10021,Men,Apparel,Bottomwear,Shorts,White,Spring,2013,Sports,Nike Men As Woven Shor White Shorts
10022,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Sports,Nike Men Blue Polo Tshirts
10023,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2011,Sports,Nike Women Regular Grey Track Pants
10024,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Women As Make Yours Black T-Shirts
10025,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011,Sports,Nike Women As Element Ja Pink T-Shirt
10026,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Women As Challenger Black T-Shirts
10027,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women's White Tshirt
10028,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Club Jerse White T-Shirts
10029,Women,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011,Sports,Nike Women As Script Mas Navy Blue Sweatshirts
10030,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Women As See The Win Black T-Shirts
10031,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Nike Men As Arsenal Co Navy Blue T-Shirts
10032,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Men AS FCB Core T Black T-shirts
10033,Men,Apparel,Bottomwear,Shorts,Navy Blue,Fall,2011,Sports,Nike Men As Ad Breakli Navy Blue Shorts
10034,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Nike Women As Element Ja Black T-Shirt
10035,Men,Footwear,Shoes,Sports Shoes,Brown,Fall,2011,Sports,Reebok Men Runtone Action Brown Sports Shoes
10037,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Premier ultra 8 U-form Silver Sports Shoes
10039,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Raceon White Sports Shoes
10040,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Men White Polo Tshirts
10041,Women,Apparel,Topwear,Tshirts,Brown,Fall,2011,Sports,Nike Women Brown Polo T-shirt
10042,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011,Sports,Nike Women Pink Polo Tshirts
10043,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men ferrari Black Polo Tshirts
10044,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Ferrari Logo Black Tshirts
10045,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Puma Men Heroes Party Graphic Blue Tshirts
10046,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Puma Men Heroes Graphic Green Tshirts
10047,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Heroes Graphic Black Tshirts
10048,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Social Sport Black Tshirts
10049,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Mns Body Train Black Tshirts
10050,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Usain Bolt Black Tshirts
10051,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Puma Men Motorsport Navy Blue Shirts
10052,Women,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Puma Women Trunk Black Shorts
10053,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Gini And Jony Vini Romper Pink T-Shirts
10054,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Reebok Kids Kkr Boy's Premium Blue Jerseys
10056,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,2011,Sports,ADIDAS Men Cfc Pes Black Tracksuits
10057,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men Tshirt Trning White Polo Tshirts
10058,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Large logo tee Black Tshirts
10059,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Black Polo Tshirts
10060,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men motor sport tee White Tshirts
10061,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men graphic story tee White Tshirts
10062,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Puma Men Puma runhard tee Grey Tshirts
10063,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men spine tee Yellow Tshirts
10064,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men puma shield tee Yellow Tshirts
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts
10066,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Puma midrange tee Black Tshirts
10067,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men punk logo tee Yellow Tshirts
10068,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men lifestyle graphitti White Tshirts
10069,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Large logo tee Black Tshirts
10070,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011,Casual,Puma Women Large logo tee Pink Tshirts
10071,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Women bling blink tee White Tshirts
10072,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Women poster tee White Tshirts
10073,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Puma Women cat line tee Purple Tshirts
10074,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Puma runhard tee Black Tshirts
10075,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Puma Men ducati heritage logo tee Red Tshirts
10076,Women,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Women Large logo tee Black Tshirts
10078,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Speed Mode White Sports Shoes
